name,brand,source,us,uk,de,fr,es,it,be,tr
Sauvage,Dior,popular+celebs+blog,,,,,,,,
Bleu de Chanel,Chanel,popular+celebs+blog,,,,,,,,
Aventus,Creed,popular+celebs+blog,,,,,,,,
Baccarat Rouge 540,Maison Francis Kurkdjian,popular+celebs+blog,,,,,,,,
Acqua di Gio,Giorgio Armani,popular+celebs+blog,,,,,,,,
Eros,Versace,popular+blog,,,,,,,,
Coco Mademoiselle,Chanel,popular+celebs+blog,,,,,,,,
Libre,Yves Saint Laurent,popular,,,,,,,,
Black Opium,Yves Saint Laurent,popular+blog,,,,,,,,
La Vie Est Belle Lancôme,Lancome,popular,,,,,,,,
Miss Dior,Dior,popular+celebs+blog,,,,,,,,
J'adore,Dior,popular+celebs,,,,,,,,
Good Girl,Carolina Herrera,popular+celebs+blog,,,,,,,,
Prada Paradoxe,Prada,popular,,,,,,,,
Flora Gorgeous Gardenia,Gucci,popular,,,,,,,,
English Pear & Freesia,Jo Malone London,popular,,,,,,,,
Angel,Mugler,popular+blog,,,,,,,,
Alien,Mugler,popular+celebs,,,,,,,,
Chanel No 5 Parfum,Chanel,popular,,,,,,,,
Santal 33,Le Labo,popular+celebs+blog,,,,,,,,
Portrait of a Lady,Frederic Malle,popular+blog,,,,,,,,
Delina,Parfums de Marly,popular+celebs+blog,,,,,,,,
Layton,Parfums de Marly,popular+celebs+blog,,,,,,,,
Herod,Parfums de Marly,popular,,,,,,,,
Carlisle,Parfums de Marly,popular,,,,,,,,
Pegasus,Parfums de Marly,popular,,,,,,,,
Althaïr,Parfums de Marly,popular,,,,,,,,
Valaya,Parfums de Marly,popular,,,,,,,,
Greenley,Parfums de Marly,popular,,,,,,,,
Percival,Parfums de Marly,popular+blog,,,,,,,,
Oud for Greatness,Initio Parfums Prives,popular,,,,,,,,
Side Effect,Initio Parfums Prives,popular,,,,,,,,
Narcotic Delight,Initio Parfums Prives,popular,,,,,,,,
XJ 1861 Naxos,Xerjoff,popular,,,,,,,,
Erba Pura,Xerjoff,popular,,,,,,,,
Oud Maracujá,Maison Crivelli,popular,,,,,,,,
